0,1,2,3,4,5,6,7,8,9,10
other vegetables,chicken,onions,rolls/buns,spices,other vegetables,,,,,
fruit/vegetable juice,beef,,,,,,,,,
long life bakery product,hard cheese,,,,,,,,,
specialty chocolate,long life bakery product,,,,,,,,,
onions,curd,,,,,,,,,
pip fruit,UHT-milk,shopping bags,,,,,,,,
sugar,skin care,,,,,,,,,
chicken,frozen vegetables,candy,,,,,,,,
meat,house keeping products,,,,,,,,,
turkey,UHT-milk,,,,,,,,,
other vegetables,citrus fruit,rolls/buns,,,,,,,,
pork,canned beer,prosecco,fruit/vegetable juice,,,,,,,
tropical fruit,butter,dog food,,,,,,,,
chicken,domestic eggs,,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
whole milk,soda,,,,,,,,,
whole milk,bottled water,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
white bread,hamburger meat,pastry,frozen meals,,,,,,,
curd,brown bread,,,,,,,,,
cream cheese ,pastry,,,,,,,,,
sausage,whole milk,cake bar,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
sausage,butter,cream cheese ,,,,,,,,
whole milk,berries,yogurt,,,,,,,,
meat,whole milk,,,,,,,,,
whole milk,coffee,whole milk,,,,,,,,
finished products,bottled beer,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
pot plants,tropical fruit,pip fruit,whole milk,semi-finished bread,,,,,,
sausage,red/blush wine,,,,,,,,,
domestic eggs,chocolate,,,,,,,,,
cooking chocolate,shopping bags,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
pip fruit,light bulbs,bottled water,ketchup,,,,,,,
pork,chocolate,soap,,,,,,,,
seasonal products,shopping bags,,,,,,,,,
frankfurter,chicken,meat,bottled beer,other vegetables,pastry,misc. beverages,root vegetables,salt,,
chicken,cat food,,,,,,,,,
whole milk,soda,hygiene articles,canned beer,,,,,,,
citrus fruit,margarine,sliced cheese,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
rolls/buns,instant coffee,,,,,,,,,
bottled water,soft cheese,dishes,chocolate,,,,,,,
frozen vegetables,tropical fruit,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
curd,softener,,,,,,,,,
curd,napkins,,,,,,,,,
other vegetables,skin care,domestic eggs,,,,,,,,
onions,long life bakery product,,,,,,,,,
soda,pet care,butter,,,,,,,,
berries,yogurt,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
sauces,herbs,,,,,,,,,
pot plants,coffee,rolls/buns,hard cheese,,,,,,,
pot plants,rolls/buns,,,,,,,,,
frankfurter,condensed milk,,,,,,,,,
pot plants,other vegetables,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
soda,pasta,,,,,,,,,
pork,bottled beer,beef,other vegetables,chocolate,snack products,other vegetables,frozen vegetables,,,
dessert,curd,,,,,,,,,
newspapers,soda,,,,,,,,,
canned beer,long life bakery product,,,,,,,,,
newspapers,pip fruit,dishes,,,,,,,,
tropical fruit,brandy,whole milk,canned fish,,,,,,,
sparkling wine,root vegetables,,,,,,,,,
sugar,curd,,,,,,,,,
pork,root vegetables,,,,,,,,,
seasonal products,other vegetables,,,,,,,,,
bottled beer,rolls/buns,herbs,UHT-milk,,,,,,,
whole milk,hard cheese,,,,,,,,,
other vegetables,soda,,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
hamburger meat,white bread,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
sugar,bottled water,,,,,,,,,
whipped/sour cream,Instant food products,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
sausage,yogurt,baking powder,,,,,,,,
sausage,specialty chocolate,,,,,,,,,
butter,bottled beer,,,,,,,,,
sausage,whole milk,,,,,,,,,
frozen fish,mustard,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
coffee,brown bread,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
soda,other vegetables,white bread,,,,,,,,
sausage,whole milk,,,,,,,,,
cake bar,shopping bags,,,,,,,,,
sausage,whole milk,,,,,,,,,
domestic eggs,ham,,,,,,,,,
soda,other vegetables,frozen vegetables,,,,,,,,
margarine,bottled water,,,,,,,,,
whipped/sour cream,grapes,yogurt,spread cheese,,,,,,,
tropical fruit,chocolate,,,,,,,,,
bottled water,coffee,sugar,bottled water,,,,,,,
whipped/sour cream,tropical fruit,,,,,,,,,
hamburger meat,tropical fruit,,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
UHT-milk,frozen vegetables,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
napkins,specialty chocolate,other vegetables,,,,,,,,
meat,whole milk,,,,,,,,,
whipped/sour cream,chewing gum,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
light bulbs,frozen vegetables,mustard,napkins,,,,,,,
frankfurter,canned beer,,,,,,,,,
canned beer,napkins,rolls/buns,,,,,,,,
pork,semi-finished bread,,,,,,,,,
oil,frozen potato products,,,,,,,,,
canned beer,spices,rolls/buns,frozen fish,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
dessert,house keeping products,,,,,,,,,
cream cheese ,tropical fruit,bottled water,soda,specialty bar,,,,,,
whole milk,canned beer,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
ham,other vegetables,,,,,,,,,
liquor,UHT-milk,,,,,,,,,
soda,beef,other vegetables,soda,flour,,,,,,
finished products,whole milk,,,,,,,,,
herbs,yogurt,misc. beverages,,,,,,,,
rolls/buns,pork,,,,,,,,,
canned beer,baking powder,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
pip fruit,rolls/buns,whole milk,,,,,,,,
chicken,onions,,,,,,,,,
other vegetables,coffee,brown bread,,,,,,,,
bottled water,bottled water,,,,,,,,,
soda,whole milk,shopping bags,,,,,,,,
chicken,waffles,pip fruit,tropical fruit,pastry,bottled water,shopping bags,bottled water,,,
whipped/sour cream,other vegetables,shopping bags,,,,,,,,
curd,soda,,,,,,,,,
ham,newspapers,bottled beer,,,,,,,,
napkins,spices,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pork,liquor,,,,,,,,,
pot plants,rolls/buns,,,,,,,,,
pasta,canned beer,,,,,,,,,
pastry,yogurt,,,,,,,,,
whole milk,frozen fish,,,,,,,,,
cat food,fruit/vegetable juice,,,,,,,,,
UHT-milk,other vegetables,cake bar,,,,,,,,
frozen chicken,white wine,,,,,,,,,
pip fruit,newspapers,chocolate,,,,,,,,
white bread,whole milk,pastry,shopping bags,,,,,,,
ham,specialty chocolate,,,,,,,,,
beef,sausage,pet care,yogurt,newspapers,soda,,,,,
white wine,newspapers,dog food,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
pastry,soda,semi-finished bread,white bread,,,,,,,
citrus fruit,grapes,,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
pip fruit,whole milk,coffee,salty snack,,,,,,,
other vegetables,root vegetables,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
sausage,other vegetables,shopping bags,napkins,,,,,,,
beverages,curd,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
root vegetables,root vegetables,frozen vegetables,,,,,,,,
coffee,fruit/vegetable juice,,,,,,,,,
whole milk,yogurt,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
sausage,margarine,,,,,,,,,
frozen fish,baking powder,,,,,,,,,
pork,napkins,,,,,,,,,
misc. beverages,tea,,,,,,,,,
meat,bottled water,,,,,,,,,
canned beer,root vegetables,whole milk,whole milk,newspapers,,,,,,
rolls/buns,soft cheese,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
herbs,chocolate,,,,,,,,,
whipped/sour cream,salty snack,,,,,,,,,
onions,oil,,,,,,,,,
misc. beverages,sausage,root vegetables,liquor (appetizer),coffee,,,,,,
tropical fruit,white wine,curd,grapes,,,,,,,
other vegetables,whole milk,brown bread,hard cheese,waffles,,,,,,
cleaner,pastry,,,,,,,,,
yogurt,softener,,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
dog food,pork,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
dog food,processed cheese,,,,,,,,,
other vegetables,candy,,,,,,,,,
whole milk,hamburger meat,pip fruit,curd,margarine,instant coffee,misc. beverages,,,,
chocolate,white wine,,,,,,,,,
coffee,berries,grapes,cream cheese ,cat food,,,,,,
root vegetables,yogurt,,,,,,,,,
pork,whole milk,,,,,,,,,
butter milk,shopping bags,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
root vegetables,citrus fruit,soda,,,,,,,,
frankfurter,frankfurter,citrus fruit,semi-finished bread,dishes,whipped/sour cream,,,,,
curd,specialty bar,,,,,,,,,
waffles,shopping bags,,,,,,,,,
butter milk,citrus fruit,,,,,,,,,
other vegetables,dessert,,,,,,,,,
tropical fruit,coffee,waffles,whipped/sour cream,,,,,,,
sausage,liquor (appetizer),,,,,,,,,
root vegetables,whipped/sour cream,shopping bags,,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
citrus fruit,pastry,dish cleaner,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
tropical fruit,beverages,,,,,,,,,
salty snack,newspapers,,,,,,,,,
ham,brown bread,,,,,,,,,
rum,rolls/buns,,,,,,,,,
other vegetables,soda,root vegetables,flower soil/fertilizer,meat,shopping bags,soda,processed cheese,,,
packaged fruit/vegetables,bottled water,pork,domestic eggs,,,,,,,
tropical fruit,canned fish,,,,,,,,,
specialty bar,chewing gum,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
canned beer,newspapers,,,,,,,,,
canned beer,white bread,,,,,,,,,
chocolate,pip fruit,rolls/buns,other vegetables,frozen vegetables,,,,,,
semi-finished bread,tropical fruit,,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
bottled water,roll products ,butter,coffee,rum,,,,,,
rice,chewing gum,rolls/buns,,,,,,,,
whole milk,waffles,,,,,,,,,
pastry,sauces,,,,,,,,,
beef,other vegetables,,,,,,,,,
soda,other vegetables,,,,,,,,,
whole milk,brown bread,,,,,,,,,
coffee,pip fruit,,,,,,,,,
pork,mustard,,,,,,,,,
sausage,white wine,,,,,,,,,
soda,butter milk,citrus fruit,other vegetables,,,,,,,
pickled vegetables,bottled water,,,,,,,,,
brown bread,pet care,,,,,,,,,
pork,grapes,,,,,,,,,
canned beer,dessert,frozen meals,,,,,,,,
liquor,hygiene articles,,,,,,,,,
other vegetables,soda,hard cheese,coffee,whipped/sour cream,newspapers,,,,,
whipped/sour cream,beverages,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
frozen vegetables,butter,,,,,,,,,
frankfurter,pastry,,,,,,,,,
butter,soda,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
long life bakery product,waffles,,,,,,,,,
tropical fruit,sausage,ham,root vegetables,turkey,pastry,pasta,soda,,,
citrus fruit,chicken,bottled water,rolls/buns,,,,,,,
root vegetables,pip fruit,other vegetables,canned beer,,,,,,,
salt,oil,,,,,,,,,
beverages,other vegetables,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
other vegetables,zwieback,,,,,,,,,
sausage,soda,,,,,,,,,
bottled water,frozen fish,,,,,,,,,
domestic eggs,sugar,Instant food products,,,,,,,,
soda,specialty bar,tidbits,,,,,,,,
rolls/buns,oil,,,,,,,,,
frankfurter,sliced cheese,,,,,,,,,
tropical fruit,dishes,,,,,,,,,
frankfurter,hair spray,,,,,,,,,
beef,beef,,,,,,,,,
other vegetables,frankfurter,napkins,pastry,,,,,,,
soda,chewing gum,rolls/buns,flour,,,,,,,
hygiene articles,root vegetables,soda,pastry,,,,,,,
onions,canned beer,,,,,,,,,
cream cheese ,semi-finished bread,,,,,,,,,
whole milk,butter milk,rubbing alcohol,fruit/vegetable juice,,,,,,,
brown bread,shopping bags,,,,,,,,,
grapes,other vegetables,,,,,,,,,
specialty chocolate,frozen vegetables,other vegetables,cream cheese ,,,,,,,
root vegetables,popcorn,,,,,,,,,
chicken,UHT-milk,,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
pip fruit,UHT-milk,soda,,,,,,,,
sausage,rolls/buns,curd,salty snack,whipped/sour cream,hard cheese,,,,,
other vegetables,pip fruit,chocolate,,,,,,,,
root vegetables,UHT-milk,nuts/prunes,frankfurter,misc. beverages,whole milk,cream cheese ,canned fish,,,
photo/film,frankfurter,other vegetables,curd,waffles,,,,,,
citrus fruit,tropical fruit,canned fish,,,,,,,,
yogurt,sugar,,,,,,,,,
dish cleaner,coffee,,,,,,,,,
coffee,rolls/buns,other vegetables,,,,,,,,
yogurt,yogurt,,,,,,,,,
beverages,chocolate marshmallow,,,,,,,,,
salty snack,napkins,sugar,,,,,,,,
sausage,zwieback,jam,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
chicken,bottled water,,,,,,,,,
butter,whole milk,,,,,,,,,
yogurt,UHT-milk,,,,,,,,,
whole milk,frozen meals,shopping bags,whole milk,,,,,,,
sausage,whole milk,prosecco,honey,other vegetables,waffles,shopping bags,artif. sweetener,,,
grapes,rolls/buns,,,,,,,,,
chocolate,whipped/sour cream,,,,,,,,,
yogurt,berries,butter,pastry,,,,,,,
root vegetables,berries,,,,,,,,,
tropical fruit,cookware,whole milk,oil,,,,,,,
pastry,whole milk,,,,,,,,,
specialty chocolate,pet care,,,,,,,,,
cat food,other vegetables,,,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
butter milk,hard cheese,,,,,,,,,
sausage,bottled beer,,,,,,,,,
pip fruit,sliced cheese,fruit/vegetable juice,,,,,,,,
misc. beverages,other vegetables,specialty chocolate,,,,,,,,
other vegetables,margarine,,,,,,,,,
soap,brown bread,,,,,,,,,
whole milk,coffee,,,,,,,,,
citrus fruit,dessert,bottled water,,,,,,,,
sliced cheese,yogurt,,,,,,,,,
frankfurter,whipped/sour cream,bottled water,,,,,,,,
whole milk,margarine,,,,,,,,,
root vegetables,other vegetables,dessert,,,,,,,,
pork,specialty chocolate,,,,,,,,,
sausage,finished products,,,,,,,,,
tropical fruit,pudding powder,,,,,,,,,
rolls/buns,other vegetables,pastry,,,,,,,,
hamburger meat,ice cream,,,,,,,,,
salty snack,whole milk,domestic eggs,shopping bags,,,,,,,
specialty cheese,beverages,,,,,,,,,
brown bread,yogurt,,,,,,,,,
pip fruit,soda,,,,,,,,,
sausage,soda,,,,,,,,,
finished products,root vegetables,,,,,,,,,
ham,yogurt,,,,,,,,,
yogurt,pastry,,,,,,,,,
curd,bottled water,other vegetables,white bread,,,,,,,
dish cleaner,rolls/buns,frozen potato products,frozen vegetables,,,,,,,
bottled water,bottled beer,,,,,,,,,
rolls/buns,dishes,,,,,,,,,
pastry,whipped/sour cream,,,,,,,,,
candy,other vegetables,,,,,,,,,
hamburger meat,tropical fruit,whipped/sour cream,rolls/buns,,,,,,,
dessert,brown bread,,,,,,,,,
other vegetables,salty snack,soda,,,,,,,,
sausage,bottled water,,,,,,,,,
root vegetables,soda,,,,,,,,,
root vegetables,frozen fruits,waffles,,,,,,,,
ham,berries,,,,,,,,,
bottled water,cream cheese ,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
berries,condensed milk,whipped/sour cream,,,,,,,,
other vegetables,margarine,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
citrus fruit,pot plants,,,,,,,,,
whole milk,coffee,,,,,,,,,
whole milk,sausage,yogurt,whole milk,butter,,,,,,
frankfurter,dishes,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
whipped/sour cream,toilet cleaner,,,,,,,,,
spread cheese,yogurt,frozen vegetables,,,,,,,,
newspapers,chocolate,,,,,,,,,
beef,whole milk,root vegetables,whipped/sour cream,whipped/sour cream,other vegetables,,,,,
cake bar,white bread,newspapers,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
chicken,margarine,,,,,,,,,
citrus fruit,meat,,,,,,,,,
soda,beef,soda,margarine,,,,,,,
chicken,UHT-milk,napkins,,,,,,,,
pork,oil,,,,,,,,,
beef,rolls/buns,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
coffee,whole milk,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
dessert,yogurt,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
beef,root vegetables,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
sausage,whole milk,tropical fruit,light bulbs,yogurt,rolls/buns,liquor (appetizer),,,,
frozen meals,chocolate,,,,,,,,,
tropical fruit,soda,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
other vegetables,photo/film,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
red/blush wine,frozen fish,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
yogurt,hamburger meat,other vegetables,mustard,,,,,,,
frankfurter,whole milk,,,,,,,,,
sausage,other vegetables,,,,,,,,,
other vegetables,frozen fish,,,,,,,,,
whole milk,sauces,hard cheese,,,,,,,,
root vegetables,pastry,,,,,,,,,
rolls/buns,sauces,,,,,,,,,
brown bread,rolls/buns,processed cheese,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
citrus fruit,ham,red/blush wine,rolls/buns,specialty chocolate,,,,,,
bottled beer,hamburger meat,,,,,,,,,
citrus fruit,cream cheese ,bottled beer,citrus fruit,,,,,,,
citrus fruit,soda,,,,,,,,,
frozen vegetables,rolls/buns,cling film/bags,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
pip fruit,whole milk,butter milk,yogurt,,,,,,,
canned beer,tropical fruit,,,,,,,,,
whipped/sour cream,candy,,,,,,,,,
candy,curd,,,,,,,,,
beef,hygiene articles,,,,,,,,,
yogurt,whole milk,,,,,,,,,
meat,ham,male cosmetics,,,,,,,,
pip fruit,dog food,soft cheese,packaged fruit/vegetables,pastry,domestic eggs,,,,,
margarine,yogurt,,,,,,,,,
frankfurter,canned fish,beverages,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
sauces,shopping bags,,,,,,,,,
sausage,chicken,,,,,,,,,
whole milk,soda,,,,,,,,,
frankfurter,pip fruit,rolls/buns,,,,,,,,
pip fruit,frozen meals,white bread,brown bread,fruit/vegetable juice,pastry,,,,,
beef,dessert,,,,,,,,,
chicken,curd,,,,,,,,,
berries,other vegetables,fruit/vegetable juice,,,,,,,,
ice cream,long life bakery product,,,,,,,,,
pip fruit,artif. sweetener,hygiene articles,,,,,,,,
whole milk,pastry,,,,,,,,,
frozen dessert,rolls/buns,,,,,,,,,
frankfurter,chicken,rolls/buns,frankfurter,other vegetables,coffee,long life bakery product,domestic eggs,,,
white wine,sugar,,,,,,,,,
whole milk,cat food,processed cheese,rolls/buns,,,,,,,
pastry,bottled water,,,,,,,,,
UHT-milk,margarine,,,,,,,,,
chicken,other vegetables,,,,,,,,,
rolls/buns,oil,fruit/vegetable juice,,,,,,,,
honey,salty snack,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
pip fruit,rolls/buns,fruit/vegetable juice,pasta,,,,,,,
popcorn,pork,margarine,beef,butter,,,,,,
whipped/sour cream,fruit/vegetable juice,,,,,,,,,
hamburger meat,soda,,,,,,,,,
whole milk,canned beer,processed cheese,,,,,,,,
frozen meals,bottled water,,,,,,,,,
dessert,root vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
whole milk,processed cheese,,,,,,,,,
frozen vegetables,yogurt,,,,,,,,,
canned beer,hygiene articles,,,,,,,,,
tidbits,whole milk,frozen vegetables,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
pork,honey,newspapers,,,,,,,,
pip fruit,skin care,,,,,,,,,
rolls/buns,curd,,,,,,,,,
bottled water,citrus fruit,,,,,,,,,
root vegetables,frozen fish,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
tropical fruit,soda,,,,,,,,,
pork,curd,,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
misc. beverages,bottled beer,dishes,onions,,,,,,,
root vegetables,canned beer,whole milk,oil,,,,,,,
bottled beer,soda,hygiene articles,chicken,whole milk,whole milk,canned beer,curd,soda,,
beverages,soda,curd,liquor,whole milk,margarine,flour,,,,
nut snack,bottled beer,,,,,,,,,
flour,soda,,,,,,,,,
hamburger meat,candles,,,,,,,,,
beef,processed cheese,other vegetables,spices,,,,,,,
soda,whole milk,,,,,,,,,
fruit/vegetable juice,seasonal products,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
condensed milk,other vegetables,,,,,,,,,
chicken,pastry,,,,,,,,,
soda,processed cheese,instant coffee,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
hamburger meat,frozen vegetables,,,,,,,,,
other vegetables,bottled water,baking powder,,,,,,,,
cream cheese ,whole milk,brown bread,whole milk,,,,,,,
coffee,root vegetables,,,,,,,,,
pickled vegetables,soda,,,,,,,,,
root vegetables,whole milk,pastry,,,,,,,,
newspapers,frozen meals,,,,,,,,,
seasonal products,other vegetables,bottled water,,,,,,,,
yogurt,whole milk,,,,,,,,,
chicken,beef,,,,,,,,,
sausage,chocolate,,,,,,,,,
root vegetables,candy,,,,,,,,,
curd,yogurt,detergent,,,,,,,,
rolls/buns,waffles,,,,,,,,,
beef,bottled beer,,,,,,,,,
softener,salty snack,,,,,,,,,
packaged fruit/vegetables,frozen fish,,,,,,,,,
white bread,other vegetables,whipped/sour cream,UHT-milk,margarine,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
canned beer,pastry,,,,,,,,,
yogurt,yogurt,bags,,,,,,,,
other vegetables,sugar,oil,,,,,,,,
beef,roll products ,,,,,,,,,
soda,newspapers,,,,,,,,,
soda,cake bar,,,,,,,,,
citrus fruit,citrus fruit,specialty chocolate,cream cheese ,,,,,,,
misc. beverages,curd,,,,,,,,,
frankfurter,curd,,,,,,,,,
soda,curd cheese,root vegetables,semi-finished bread,,,,,,,
whole milk,bottled water,,,,,,,,,
misc. beverages,long life bakery product,,,,,,,,,
citrus fruit,beef,rolls/buns,whole milk,,,,,,,
beverages,newspapers,,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
whole milk,organic products,,,,,,,,,
tropical fruit,flower soil/fertilizer,flour,specialty bar,,,,,,,
other vegetables,soda,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
shopping bags,rice,,,,,,,,,
canned beer,whole milk,,,,,,,,,
ham,other vegetables,,,,,,,,,
onions,pork,,,,,,,,,
cling film/bags,other vegetables,,,,,,,,,
white bread,specialty bar,newspapers,,,,,,,,
canned beer,salty snack,soda,,,,,,,,
frankfurter,long life bakery product,sugar,,,,,,,,
domestic eggs,candy,,,,,,,,,
whole milk,frozen potato products,,,,,,,,,
pork,sweet spreads,,,,,,,,,
tropical fruit,dish cleaner,bottled water,,,,,,,,
hamburger meat,butter,,,,,,,,,
specialty chocolate,white bread,shopping bags,,,,,,,,
ready soups,shopping bags,,,,,,,,,
butter,rolls/buns,,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
red/blush wine,bottled beer,,,,,,,,,
UHT-milk,citrus fruit,,,,,,,,,
pork,whole milk,flower (seeds),,,,,,,,
sausage,frozen vegetables,,,,,,,,,
female sanitary products,rolls/buns,,,,,,,,,
meat,root vegetables,,,,,,,,,
finished products,cocoa drinks,,,,,,,,,
frankfurter,newspapers,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
soda,yogurt,brown bread,,,,,,,,
whipped/sour cream,herbs,flour,oil,,,,,,,
whisky,shopping bags,rum,,,,,,,,
soft cheese,white wine,,,,,,,,,
spread cheese,tropical fruit,domestic eggs,bottled water,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
onions,cream cheese ,baking powder,,,,,,,,
chicken,butter milk,,,,,,,,,
other vegetables,cat food,,,,,,,,,
tropical fruit,soda,UHT-milk,,,,,,,,
sliced cheese,domestic eggs,,,,,,,,,
root vegetables,citrus fruit,whole milk,chewing gum,,,,,,,
beef,root vegetables,,,,,,,,,
chicken,white wine,margarine,,,,,,,,
organic sausage,processed cheese,oil,,,,,,,,
hard cheese,soda,,,,,,,,,
condensed milk,rolls/buns,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
ice cream,onions,soda,,,,,,,,
whole milk,whole milk,,,,,,,,,
whole milk,newspapers,,,,,,,,,
root vegetables,newspapers,dishes,,,,,,,,
kitchen towels,shopping bags,,,,,,,,,
rolls/buns,baking powder,,,,,,,,,
sausage,canned fish,,,,,,,,,
other vegetables,coffee,,,,,,,,,
whole milk,yogurt,,,,,,,,,
sausage,soda,bottled beer,yogurt,,,,,,,
sliced cheese,newspapers,frozen vegetables,,,,,,,,
beef,meat,,,,,,,,,
canned beer,herbs,margarine,,,,,,,,
pastry,bottled beer,,,,,,,,,
tropical fruit,sparkling wine,cat food,,,,,,,,
tropical fruit,oil,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
waffles,yogurt,,,,,,,,,
beef,sausage,,,,,,,,,
chicken,bottled beer,,,,,,,,,
fruit/vegetable juice,rolls/buns,packaged fruit/vegetables,ice cream,rolls/buns,pasta,margarine,pip fruit,,,
dishes,shopping bags,brown bread,white bread,,,,,,,
liver loaf,canned beer,candy,,,,,,,,
whole milk,pastry,specialty cheese,,,,,,,,
pastry,brown bread,yogurt,,,,,,,,
hamburger meat,frozen vegetables,cream cheese ,,,,,,,,
chicken,canned beer,,,,,,,,,
yogurt,yogurt,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
seasonal products,flower (seeds),,,,,,,,,
whipped/sour cream,other vegetables,flour,,,,,,,,
onions,soda,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
yogurt,pastry,bottled water,,,,,,,,
sausage,honey,beverages,soda,frozen dessert,whipped/sour cream,,,,,
curd,chocolate marshmallow,,,,,,,,,
canned beer,yogurt,,,,,,,,,
UHT-milk,pastry,bottled water,,,,,,,,
other vegetables,whole milk,,,,,,,,,
chicken,specialty chocolate,,,,,,,,,
butter,specialty chocolate,,,,,,,,,
bottled water,whole milk,,,,,,,,,
root vegetables,tropical fruit,other vegetables,processed cheese,,,,,,,
misc. beverages,rolls/buns,,,,,,,,,
pastry,other vegetables,cake bar,,,,,,,,
citrus fruit,citrus fruit,whole milk,newspapers,detergent,yogurt,salty snack,,,,
pork,shopping bags,,,,,,,,,
canned beer,chocolate,,,,,,,,,
pastry,napkins,pastry,,,,,,,,
sliced cheese,bottled water,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
other vegetables,roll products ,,,,,,,,,
canned beer,tropical fruit,newspapers,,,,,,,,
beef,brown bread,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
sausage,pork,,,,,,,,,
tropical fruit,whipped/sour cream,specialty chocolate,,,,,,,,
pastry,chicken,packaged fruit/vegetables,tropical fruit,packaged fruit/vegetables,pasta,photo/film,sugar,,,
bottled beer,brown bread,,,,,,,,,
frankfurter,pet care,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
sausage,herbs,,,,,,,,,
citrus fruit,hard cheese,canned fish,,,,,,,,
yogurt,sliced cheese,,,,,,,,,
UHT-milk,tea,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
bottled water,hygiene articles,,,,,,,,,
whole milk,ice cream,,,,,,,,,
